Student_Number,First_Name,Last_Name,Status,Current_Track,Current_Year_Entry_Date,Current_Year_Exit_Date,Grade_Level,School,Membership,Present,Absent,Tardies,Special_Education_Program
1953,First953,Last953,Active,C,8/24/2020,6/4/2021,5,KIPP Columbus Elementary,113,112,1,0,0
1954,First954,Last954,Active,C,8/24/2020,6/4/2021,4,KIPP Columbus Elementary,113,110,3,0,0
1955,First955,Last955,Active,C,8/24/2020,6/4/2021,3,KIPP Columbus Elementary,113,108,5,0,0
1956,First956,Last956,Active,C,8/24/2020,6/4/2021,5,KIPP Columbus Elementary,113,112,1,0,0
1957,First957,Last957,Active,C,8/24/2020,6/4/2021,3,KIPP Columbus Elementary,113,110,3,0,0
1958,First958,Last958,Active,B,8/24/2020,6/4/2021,4,KIPP Columbus Elementary,113,102.5,10.5,0,0
1959,First959,Last959,Inactive,,8/24/2020,8/26/2020,4,KIPP Columbus Elementary,2,2,0,0,0
1960,First960,Last960,Inactive,,8/24/2020,8/26/2020,3,KIPP Columbus Elementary,2,2,0,0,0
1961,First961,Last961,Active,C,8/24/2020,6/4/2021,5,KIPP Columbus Elementary,113,111,2,0,0
1962,First962,Last962,Active,C,8/24/2020,6/4/2021,4,KIPP Columbus Elementary,113,101,12,0,0
1963,First963,Last963,Active,C,8/24/2020,6/4/2021,4,KIPP Columbus Elementary,113,99,14,0,0
1964,First964,Last964,Active,A,8/24/2020,6/4/2021,3,KIPP Columbus Elementary,113,70,43,0,0
1965,First965,Last965,Active,A,8/24/2020,6/4/2021,4,KIPP Columbus Elementary,113,39,74,0,0
1966,First966,Last966,Active,C,8/24/2020,6/4/2021,5,KIPP Columbus Elementary,113,112,1,0,0
1967,First967,Last967,Active,C,8/24/2020,6/4/2021,2,KIPP Columbus Elementary,113,112,1,0,0
1968,First968,Last968,Inactive,,8/24/2020,8/2/2020,2,KIPP Columbus Elementary,0,0,0,0,0
1969,First969,Last969,Active,A,8/24/2020,6/4/2021,2,KIPP Columbus Elementary,113,108.5,4.5,0,0
1970,First970,Last970,Active,C,8/24/2020,6/4/2021,5,KIPP Columbus Elementary,113,99,14,0,0
1971,First971,Last971,Active,C,8/24/2020,6/4/2021,4,KIPP Columbus Elementary,113,106,7,0,0
1972,First972,Last972,Active,C,8/24/2020,6/4/2021,5,KIPP Columbus Elementary,113,112,1,0,0
1973,First973,Last973,Active,C,8/24/2020,6/4/2021,3,KIPP Columbus Elementary,113,113,0,0,0
1974,First974,Last974,Active,A,8/24/2020,6/4/2021,5,KIPP Columbus Elementary,113,110,3,0,0
1975,First975,Last975,Active,A,8/24/2020,6/4/2021,5,KIPP Columbus Elementary,113,108,5,0,0
1976,First976,Last976,Active,B,8/24/2020,6/4/2021,4,KIPP Columbus Elementary,113,110,3,0,0
1977,First977,Last977,Unknown,,8/24/2020,8/2/2020,5,KIPP Columbus Elementary,0,0,0,0,0
1978,First978,Last978,Unknown,,8/24/2020,8/2/2020,4,KIPP Columbus Elementary,0,0,0,0,0
1979,First979,Last979,Active,A,8/24/2020,6/4/2021,3,KIPP Columbus Elementary,113,108,5,0,0
1980,First980,Last980,Active,C,8/24/2020,6/4/2021,2,KIPP Columbus Elementary,113,102,11,0,0
1981,First981,Last981,Active,A,8/24/2020,6/4/2021,5,KIPP Columbus Elementary,113,81,32,0,0
1982,First982,Last982,Active,B,8/24/2020,6/4/2021,5,KIPP Columbus Elementary,113,94,19,0,0
1983,First983,Last983,Active,C,8/24/2020,6/4/2021,4,KIPP Columbus Elementary,113,109,4,0,0
1984,First984,Last984,Active,C,8/24/2020,6/4/2021,2,KIPP Columbus Elementary,113,113,0,0,0
1985,First985,Last985,Active,A,8/24/2020,6/4/2021,4,KIPP Columbus Elementary,113,98.5,14.5,0,0
1986,First986,Last986,Active,C,8/24/2020,6/4/2021,4,KIPP Columbus Elementary,113,101,12,0,0
1987,First987,Last987,Active,A,8/24/2020,6/4/2021,3,KIPP Columbus Elementary,113,107,6,0,0
1988,First988,Last988,Active,C,8/24/2020,6/4/2021,5,KIPP Columbus Elementary,113,110,3,0,0
1989,First989,Last989,Active,A,8/24/2020,6/4/2021,5,KIPP Columbus Elementary,113,113,0,0,0
1990,First990,Last990,Active,B,8/24/2020,6/4/2021,5,KIPP Columbus Elementary,113,108,5,0,0
1991,First991,Last991,Active,B,8/24/2020,6/4/2021,4,KIPP Columbus Elementary,113,105,8,0,0
1992,First992,Last992,Active,C,8/24/2020,6/4/2021,5,KIPP Columbus Elementary,113,111,2,0,0
1993,First993,Last993,Active,B,8/24/2020,6/4/2021,2,KIPP Columbus Elementary,113,108,5,0,0
1994,First994,Last994,Inactive,,8/24/2020,5/30/2020,2,KIPP Columbus Elementary,0,0,0,0,0
1995,First995,Last995,Active,C,8/24/2020,6/4/2021,5,KIPP Columbus Elementary,113,111,2,0,0
1996,First996,Last996,Active,C,8/24/2020,6/4/2021,4,KIPP Columbus Elementary,113,108,5,0,0
1997,First997,Last997,Active,A,8/24/2020,6/4/2021,4,KIPP Columbus Elementary,113,108,5,0,0
1998,First998,Last998,Active,A,8/24/2020,6/4/2021,2,KIPP Columbus Elementary,113,111,2,0,0
1999,First999,Last999,Active,A,8/24/2020,6/4/2021,5,KIPP Columbus Elementary,113,68.5,44.5,0,1
2000,First1000,Last1000,Active,A,8/24/2020,6/4/2021,3,KIPP Columbus Elementary,113,50,63,0,1
2001,First1001,Last1001,Active,C,8/24/2020,6/4/2021,4,KIPP Columbus Elementary,113,101,12,0,1
2002,First1002,Last1002,Active,C,8/24/2020,6/4/2021,2,KIPP Columbus Elementary,113,112,1,0,0
2003,First1003,Last1003,Active,A,8/24/2020,6/4/2021,5,KIPP Columbus Elementary,113,106,7,0,0
2004,First1004,Last1004,Active,C,8/24/2020,6/4/2021,5,KIPP Columbus Elementary,113,102,11,0,0
2005,First1005,Last1005,Active,C,8/24/2020,6/4/2021,3,KIPP Columbus Elementary,113,109,4,0,0
2006,First1006,Last1006,Active,A,8/24/2020,6/4/2021,3,KIPP Columbus Elementary,113,98.5,14.5,0,0
2007,First1007,Last1007,Active,C,8/24/2020,6/4/2021,2,KIPP Columbus Elementary,113,112,1,0,0
2008,First1008,Last1008,Active,A,8/24/2020,6/4/2021,4,KIPP Columbus Elementary,113,111,2,0,0
